Date,Open,High,Low,Close,Adj Close,Volume
12/3/2021,95.129997,95.349998,91.730003,92.769997,92.380569,8082800
12/6/2021,93.849998,96.889999,93.239998,96.010002,95.606987,6679900
12/7/2021,96.599998,98.330002,96.300003,97.550003,97.140518,5049000
12/8/2021,97.550003,98.940002,96.980003,98.279999,97.867447,4756800
12/9/2021,97.769997,98.190002,97,97.830002,97.419334,4066700
12/10/2021,98.089996,98.559998,96.449997,96.949997,96.543022,4276300
12/13/2021,95.970001,96.400002,92.82,93.129997,92.739067,7378600
12/14/2021,92.75,94.059998,91.720001,92.110001,91.723358,7260800
12/15/2021,92.220001,92.410004,90.18,92.080002,91.693466,7694500
12/16/2021,92.519997,94.339996,92.199997,92.529999,92.141579,7127400
12/17/2021,92.449997,93.07,90.110001,91.449997,91.066116,9065000
12/20/2021,90,90.099998,88.169998,89.980003,89.68074,6013200
12/21/2021,90.720001,93.669998,90.720001,93.059998,92.750496,7617700
12/22/2021,92.919998,93.709999,92.160004,93.07,92.760468,4663900
12/23/2021,93.300003,94.540001,93.300003,94,93.687378,3885500
12/27/2021,93.629997,94.669998,93.449997,94.620003,94.305321,3428900
12/28/2021,94.43,96.080002,94.239998,95.300003,94.983055,4051900
12/29/2021,95,95.480003,94.440002,94.790001,94.474754,3490500
12/30/2021,94.660004,95.980003,94.529999,94.699997,94.38504,3269000
12/31/2021,94.5,94.970001,93.900002,94.470001,94.155815,3795700
1/3/2022,95.220001,97.440002,94.75,96.239998,95.919922,4619800
1/4/2022,98.779999,100.050003,98.089996,99.370003,99.03952,7624100
1/5/2022,99.730003,101.790001,99.290001,99.370003,99.03952,5894700
1/6/2022,100.449997,101.080002,99.419998,99.949997,99.617584,4277000
1/7/2022,99.800003,102.239998,99.769997,101.400002,101.062767,6248300
1/10/2022,101.720001,102,98.940002,99.419998,99.089348,5768700
1/11/2022,100.290001,102.370003,99.970001,101.790001,101.451469,5673900
1/12/2022,101.43,102.620003,101.379997,102.239998,101.899963,4558500
1/13/2022,102.290001,103.650002,101.800003,102.459999,102.11924,4382500
1/14/2022,101.660004,103.269997,100.910004,103.160004,102.81691,4380300
1/18/2022,102.559998,103.730003,102.160004,102.889999,102.547813,8410600
1/19/2022,102.690002,102.989998,100.470001,100.620003,100.285362,5699000
1/20/2022,100.230003,101.790001,97.970001,98.25,97.923241,5635500
1/21/2022,97.699997,98.349998,95.860001,96.300003,95.979736,8077400
1/24/2022,94.589996,97.440002,92.290001,96.910004,96.5877,9873300
1/25/2022,91.120003,92.360001,88.300003,91.110001,90.806984,20952000
